,ZIPCODE,CTW_<25_Min,CTW_25-45_Min,CTW_>45_Min,pop15_marital_status,pop25_att_Bachelors,2021_Median_Home_Value,2021_Income,final_score_scale,0_percent,1_percent,2_percent
127,11249,0.3,0.44,0.25,0.48,0.33,0.667867666,0.496592517,0.649063963,0.624624625,0.375375375,0
128,11354,0.34,0.24,0.44,0.53,0.15,0.321186839,0.240433798,0.578279953,0.71372549,0.211764706,0.074509804
129,11355,0.29,0.3,0.43,0.58,0.13,0.356705822,0.226263869,0.548506685,0.517857143,0.473214286,0.008928571
130,11356,0.3,0.28,0.4,0.57,0.15,0.348675326,0.347318263,0.781070992,0.80952381,0.19047619,0
131,11357,0.31,0.23,0.44,0.59,0.24,0.411057794,0.465222674,0.194278783,0.392473118,0.349462366,0.258064516
132,11358,0.26,0.29,0.44,0.57,0.2,0.417657291,0.378408108,0.651601088,0.436936937,0.558558559,0.004504505
133,11360,0.25,0.34,0.4,0.53,0.29,0.331512334,0.490552547,0.614734962,0.824074074,0.175925926,0
134,11361,0.27,0.28,0.45,0.54,0.26,0.403191798,0.483887581,0.541712411,0.496621622,0.314189189,0.189189189
135,11362,0.34,0.22,0.45,0.58,0.27,0.36077732,0.501882491,0.508738874,0.99103139,0.00896861,0
136,11363,0.23,0.27,0.5,0.6,0.32,0.448068776,0.560642197,0.769306313,0.141025641,0.858974359,0
137,11364,0.26,0.25,0.49,0.56,0.26,0.331332334,0.444557777,0.383362117,0.904605263,0.095394737,0
138,11365,0.25,0.27,0.47,0.58,0.24,0.389908305,0.388718056,0.379648949,0.75,0.18877551,0.06122449
139,11366,0.27,0.24,0.5,0.55,0.28,0.408811796,0.471332643,0.52714646,0.929824561,0.070175439,0
140,11367,0.28,0.26,0.46,0.51,0.25,0.29948885,0.335323323,0.360415973,0.85840708,0.137168142,0.004424779
141,11368,0.21,0.27,0.53,0.43,0.1,0.351843324,0.281298594,0.69981676,0.94127378,0.05789909,0.00082713
142,11369,0.18,0.36,0.46,0.46,0.13,0.338316331,0.300943495,0.624387746,0.8,0.2,0
143,11370,0.2,0.35,0.46,0.41,0.15,0.402086299,0.373108134,0.572274191,0.116129032,0.819354839,0.064516129
144,11372,0.19,0.36,0.45,0.43,0.18,0.235536882,0.304643477,0.717085211,0.719367589,0.280632411,0
145,11373,0.15,0.35,0.5,0.51,0.21,0.349510825,0.27802361,0.341449422,0.896449704,0.103550296,0
146,11374,0.18,0.3,0.53,0.52,0.31,0.27920086,0.349363253,0.501536715,0.187660668,0.784061697,0.028277635
147,11375,0.16,0.27,0.57,0.56,0.33,0.324795838,0.469632652,0.58623361,0.3712,0.6288,0
148,11377,0.2,0.46,0.32,0.47,0.22,0.337639831,0.308648457,0.629858628,0.450958286,0.543404735,0.005636979
149,11378,0.22,0.29,0.48,0.5,0.19,0.353379323,0.401602992,0,0.5,0.088607595,0.411392405
150,11379,0.24,0.26,0.5,0.55,0.22,0.36003132,0.457492713,0.853560181,0.301369863,0.589041096,0.109589041
151,11385,0.16,0.32,0.54,0.48,0.2,0.335033832,0.394903025,0.592007071,0.40499554,0.481712756,0.113291704
152,11411,0.23,0.26,0.51,0.42,0.23,0.23980288,0.529722351,0.618155879,0.987179487,0,0.012820513
153,11412,0.21,0.26,0.53,0.4,0.16,0.247600876,0.443237784,0.593050791,0.173611111,0.125,0.701388889
154,11413,0.19,0.27,0.53,0.4,0.18,0.269839365,0.499862501,0.568141428,0.530864198,0.469135802,0
